sequence,domain,n_frames,scene_tags,ODTrack_AUC,ODTrack_SR,ODTrack_FPS,SUTrack-T224_AUC,SUTrack-T224_SR,SUTrack-T224_FPS,SUTrack-B224_AUC,SUTrack-B224_SR,SUTrack-B224_FPS,UETrack_AUC,UETrack_SR,UETrack_FPS,LoRAT_AUC,LoRAT_SR,LoRAT_FPS,ODTrack-ft-v4-ep1_AUC,ODTrack-ft-v4-ep1_SR,ODTrack-ft-v4-ep1_FPS,ODTrack-ft-v4-ep4_AUC,ODTrack-ft-v4-ep4_SR,ODTrack-ft-v4-ep4_FPS,ODTrack-ft-ep6_AUC,ODTrack-ft-ep6_SR,ODTrack-ft-ep6_FPS,ODTrack-ft-ep7_AUC,ODTrack-ft-ep7_SR,ODTrack-ft-ep7_FPS,best_method,best_AUC
train_sim/seq_0044,train_sim,1290,small;polar;scale;hard;drift,0.2788,0.3142,31.2,0.2635,0.3041,39.8,0.1974,0.2040,27.1,0.1278,0.1140,48.1,0.0835,0.0504,9.3,0.3164,0.3460,15.1,0.1565,0.1288,16.1,0.1372,0.1032,16.3,0.1861,0.1629,16.6,ft_v4_ep1,0.3164
train_sim/seq_0045,train_sim,1296,fast;scale;drift,0.4529,0.4763,30.7,0.4610,0.4888,34.9,0.4831,0.4942,24.8,0.3885,0.4065,28.7,0.3766,0.3801,8.8,0.4639,0.4825,17.5,0.4657,0.4841,16.3,0.4489,0.4655,17.7,0.4610,0.4802,16.7,sutrack_b224,0.4831
train_sim/seq_0046,train_sim,1312,polar;hard;drift,0.0723,0.0275,31.2,0.0771,0.0343,33.7,0.5133,0.6415,27.8,0.0884,0.0465,34.1,0.3234,0.3814,8.4,0.0580,0.0046,15.2,0.0620,0.0122,16.5,0.0574,0.0046,15.0,0.0640,0.0145,16.1,sutrack_b224,0.5133
train_sim/seq_0047,train_sim,1386,fast;scale,0.7329,0.8644,30.5,0.4877,0.5707,37.7,0.8025,0.9659,28.8,0.3051,0.3379,54.3,0.5935,0.7049,8.9,0.7685,0.9072,16.5,0.7884,0.9398,15.1,0.7889,0.9398,15.4,0.7472,0.8767,15.0,sutrack_b224,0.8025
train_sim/seq_0048,train_sim,1254,fast;scale,0.7889,0.9031,30.5,0.7631,0.8847,44.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7889
train_sim/seq_0049,train_sim,1310,fast;scale,0.7353,0.8981,29.8,0.5917,0.7120,36.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7353
train_sim/seq_0050,train_sim,1310,scale;absent,0.5457,0.6316,30.3,0.5337,0.6271,40.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.5457
train_sim/seq_0051,train_sim,1218,polar,0.6466,0.8447,31.1,0.3420,0.4100,42.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6466
train_sim/seq_0052,train_sim,1891,small;polar;hard;drift,0.3865,0.3989,30.0,0.3451,0.3069,40.6,0.3573,0.3111,27.7,0.2833,0.1296,38.6,0.0502,0.0000,9.3,0.4233,0.4037,16.7,0.4202,0.3989,14.0,0.4173,0.3820,13.4,0.4175,0.3862,16.2,ft_v4_ep1,0.4233
train_sim/seq_0053,train_sim,1260,scale;hard;drift,0.3816,0.4802,30.6,0.0982,0.0703,44.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.3816
